hex_id,resolution,hex_area_km2,hex_area_m2
872a100adffffff,7,5.161293,5161293.20
872a100a0ffffff,7,5.161293,5161293.20
872a1001affffff,7,5.161293,5161293.20
872a1072cffffff,7,5.161293,5161293.20
872a1072dffffff,7,5.161293,5161293.20
872a1001cffffff,7,5.161293,5161293.20
872a1008cffffff,7,5.161293,5161293.20
872a1001bffffff,7,5.161293,5161293.20
872a1001dffffff,7,5.161293,5161293.20
872a10089ffffff,7,5.161293,5161293.20
872a10010ffffff,7,5.161293,5161293.20
872a100f6ffffff,7,5.161293,5161293.20
872a10012ffffff,7,5.161293,5161293.20
872a100f4ffffff,7,5.161293,5161293.20
872a10002ffffff,7,5.161293,5161293.20
872a100d4ffffff,7,5.161293,5161293.20
872a10014ffffff,7,5.161293,5161293.20
872a10189ffffff,7,5.161293,5161293.20
872a10728ffffff,7,5.161293,5161293.20
872a100d0ffffff,7,5.161293,5161293.20
872a100a4ffffff,7,5.161293,5161293.20
872a100a1ffffff,7,5.161293,5161293.20
872a1000affffff,7,5.161293,5161293.20
872a1008bffffff,7,5.161293,5161293.20
872a10019ffffff,7,5.161293,5161293.20
872a1018bffffff,7,5.161293,5161293.20
872a100abffffff,7,5.161293,5161293.20
872a10003ffffff,7,5.161293,5161293.20
872a100a8ffffff,7,5.161293,5161293.20
872a100d3ffffff,7,5.161293,5161293.20
872a100f2ffffff,7,5.161293,5161293.20
872a10013ffffff,7,5.161293,5161293.20
872a10088ffffff,7,5.161293,5161293.20
872a100a9ffffff,7,5.161293,5161293.20
872a100d2ffffff,7,5.161293,5161293.20
872a10015ffffff,7,5.161293,5161293.20
872a10011ffffff,7,5.161293,5161293.20
872a100aeffffff,7,5.161293,5161293.20
872a1008dffffff,7,5.161293,5161293.20
872a100aaffffff,7,5.161293,5161293.20
872a1001effffff,7,5.161293,5161293.20
872a100d6ffffff,7,5.161293,5161293.20
872a10721ffffff,7,5.161293,5161293.20
872a100a3ffffff,7,5.161293,5161293.20
872a10725ffffff,7,5.161293,5161293.20
872a100a5ffffff,7,5.161293,5161293.20
872a100acffffff,7,5.161293,5161293.20
872a10016ffffff,7,5.161293,5161293.20
872a10033ffffff,7,5.161293,5161293.20
872a10018ffffff,7,5.161293,5161293.20
